City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tuktoyaktuk,CA,2021-09-25 20:27:02,69.4541,-133.0374,33.8,93,90,18.41
68,Jharsuguda,IN,2021-09-25 20:27:02,21.85,84.0333,78.24,82,53,4.29
69,Riyadh,SA,2021-09-25 20:26:54,24.6877,46.7219,86.14,21,5,9.66
70,East London,ZA,2021-09-25 20:27:03,-33.0153,27.9116,69.24,68,59,15.46
71,Cedar City,US,2021-09-25 20:23:20,37.6775,-113.0619,82.4,12,1,5.75
72,Ternate,ID,2021-09-25 20:27:03,0.8,127.4,81.21,79,97,8.08
73,Bronnoysund,NO,2021-09-25 20:27:04,65.4625,12.1997,46.4,87,75,8.05
74,Saint George,US,2021-09-25 20:22:13,37.1041,-113.5841,94.42,14,1,1.01
75,San Patricio,US,2021-09-25 20:27:04,28.017,-97.5169,88.52,33,0,11.74
76,Kaitangata,NZ,2021-09-25 20:27:05,-46.2817,169.8464,41.36,75,8,8.86
77,Bathsheba,BB,2021-09-25 20:27:05,13.2167,-59.5167,81.21,78,40,9.22
78,Caravelas,BR,2021-09-25 20:23:04,-17.7125,-39.2481,73.76,61,33,8.21
79,Benghazi,LY,2021-09-25 20:27:02,32.1167,20.0667,74.97,63,0,14.07
80,Thompson,CA,2021-09-25 20:27:06,55.7435,-97.8558,51.96,66,90,5.75
81,Powell River,CA,2021-09-25 20:27:06,49.8496,-124.5361,67.64,72,75,6.91
82,Rossland,CA,2021-09-25 20:27:06,49.0831,-117.8022,76.91,35,45,5.99
83,Laguna,US,2021-09-25 20:27:07,38.421,-121.4238,97.65,39,1,1.99
84,San Cristobal,VE,2021-09-25 20:27:07,7.7669,-72.225,89.78,62,21,8.41
85,Nikolskoye,RU,2021-09-25 20:27:07,59.7035,30.7861,49.01,91,100,9.31
86,Berlevag,NO,2021-09-25 20:27:08,70.8578,29.0864,46.96,86,99,10.0
87,Moville,US,2021-09-25 20:27:08,42.4889,-96.0725,78.98,26,9,15.1
88,Griffith,US,2021-09-25 20:27:08,41.5284,-87.4237,72.57,36,1,1.01
89,Victoria,HK,2021-09-25 20:25:18,22.2855,114.1577,84.38,78,16,8.99
90,Dikson,RU,2021-09-25 20:27:09,73.5069,80.5464,35.29,85,100,18.43
91,Kozulka,UA,2021-09-25 20:27:09,50.0351,23.797,57.49,67,100,9.46
92,Luderitz,NA,2021-09-25 20:27:09,-26.6481,15.1594,61.95,58,62,15.86
93,Touros,BR,2021-09-25 20:27:10,-5.1989,-35.4608,81.5,75,10,15.77
94,Longyearbyen,SJ,2021-09-25 20:27:10,78.2186,15.6401,42.64,75,40,11.5
95,Purranque,CL,2021-09-25 20:27:11,-40.9167,-73.1667,51.46,95,100,7.58
96,Cao Bang,VN,2021-09-25 20:27:11,22.6667,106.25,71.8,98,10,1.92
97,Duluth,US,2021-09-25 20:24:28,46.7833,-92.1066,65.55,52,40,1.99
98,Vaini,TO,2021-09-25 20:27:12,-21.2,-175.2,71.76,68,75,6.91
99,Castro,BR,2021-09-25 20:27:12,-24.7911,-50.0119,68.0,71,98,1.52
100,Ilulissat,GL,2021-09-25 20:26:07,69.2167,-51.1,24.82,50,75,3.44
